Close,Open,High,Low,Date,Volume,Daily return,Mean of daily returns,Daily return daviations,Square of deviations,Varianca of daily returns,Daily votality,Price Movement,Target
249.7,247.45,250.92,245.01,08/08/2023,96642183,-0.695963412,0.01,0.7,0.494666574,11.03296896,3.32159133,0.909274601,1
242.19,250.87,251.1,241.9,09/08/2023,101596324,-3.007609131,0.01,3.02,9.107369148,11.07598244,3.328059862,-3.459959341,0
245.34,245.4,251.8,243,10/08/2023,109498608,1.300631735,0.02,-1.28,1.633362877,11.08405053,3.329271772,-0.024449878,0
242.65,241.77,243.79,238.02,11/08/2023,99038642,-1.096437597,0.02,1.11,1.240503854,11.12294225,3.335107532,0.363982297,1
239.76,235.7,240.66,233.75,14/08/2023,98595331,-1.191015866,0.02,1.21,1.471271354,11.16377877,3.341224143,1.722528638,1
232.96,238.73,240.5,232.61,15/08/2023,88197599,-2.836169503,0.03,2.86,8.197607387,11.20399664,3.347237166,-2.416956394,0
225.6,228.02,233.97,225.38,16/08/2023,112484520,-3.159340659,0.04,3.2,10.22878609,11.21652327,3.349107831,-1.061310411,0
219.22,226.06,226.74,218.83,17/08/2023,120718417,-2.828014184,0.05,2.88,8.296143414,11.22065606,3.349724773,-3.025745377,0
215.49,214.12,217.58,212.36,18/08/2023,136276584,-1.701487091,0.06,1.77,3.118323975,11.23294393,3.351558432,0.639828134,1
231.28,221.55,232.13,220.58,21/08/2023,135702671,7.327486194,0.07,-7.26,52.64437923,11.26718283,3.356662454,4.39178515,1
233.19,240.25,240.82,229.55,22/08/2023,130597886,0.82583881,0.04,-0.78,0.615819251,11.09185572,3.330443773,-2.938605619,0
236.86,229.34,238.98,229.29,23/08/2023,101077635,1.57382392,0.04,-1.54,2.359498617,11.1364346,3.337129695,3.278974448,1
230.04,238.66,238.92,228.18,24/08/2023,99777432,-2.879338006,0.03,2.91,8.471194119,11.17394288,3.342744812,-3.611832733,0
238.59,231.31,239,230.35,25/08/2023,106612231,3.716744914,0.04,-3.67,13.49136815,11.18554266,3.34447943,3.147291514,1
238.82,242.58,244.38,235.35,28/08/2023,107673727,0.096399681,0.03,-0.07,0.00469865,11.17560375,3.342993233,-1.550004122,0
257.18,238.58,257.48,237.77,29/08/2023,134047603,7.687798342,0.03,-7.66,58.67930906,11.22396265,3.350218299,7.796127085,1
256.9,254.2,260.51,250.59,30/08/2023,121988437,-0.108873163,-0.01,0.1,0.01063456,11.01763506,3.319282311,1.062155783,1
258.08,255.98,261.18,255.05,31/08/2023,108861698,0.459322694,-0.01,-0.46,0.215873167,11.06570056,3.326514777,0.820376592,1
245.01,257.26,259.08,242.01,01/09/2023,132541640,-5.064321141,-0.01,5.06,25.57309213,11.11328752,3.333659779,-4.761719661,0
256.49,245,258,244.86,05/09/2023,129469565,4.68552304,0.01,-4.67,21.81433833,11.04958794,3.324092048,4.689795918,1
251.92,255.14,255.39,245.06,06/09/2023,116959759,-1.781745877,-0.01,1.78,3.154248453,11.00195631,3.316919701,-1.262052207,0
251.49,245.07,252.81,243.27,07/09/2023,115312886,-0.170689108,0,0.17,0.029879561,11.03683501,3.322173236,2.619659689,1
248.5,251.22,256.52,246.67,08/09/2023,118559635,-1.188914072,0,1.19,1.420515242,11.0859732,3.329560512,-1.082716344,0
273.58,264.27,274.85,260.61,11/09/2023,174667852,10.09255533,0.01,-10.08,101.692523,11.12931606,3.336062958,3.522912173,1
267.48,270.76,278.39,266.6,12/09/2023,135999866,-2.229695153,-0.04,2.19,4.807296429,10.72137369,3.27435088,-1.211404934,0
271.3,270.07,274.98,268.1,13/09/2023,111673737,1.42814416,-0.03,-1.46,2.118082856,10.74813422,3.278434721,0.455437479,1
276.04,271.32,276.71,270.42,14/09/2023,107709842,1.747143384,-0.03,-1.78,3.171882604,10.78736172,3.28441193,1.739643226,1
